variant,frame_count,metric,estimate,ci_low,ci_high,n_episodes,valid_bootstrap
VAQ,12,mean_abs_bcs_change,0.042282282282282285,0.025506201854027945,0.060128234302570575,111,2000
VAQ,12,expected_bcs_sd,0.017577139896286446,0.01371357821835887,0.021735645506449568,111,2000
VAQ,12,mean_total_variation,0.018086631057607414,0.013586977416833313,0.023175881100365895,111,2000
VAQ,12,repeated_accuracy,0.5713513513513513,0.5030268724985706,0.6470378576889471,111,2000
VAQ,12,mean_unique_frames,7.830990990990991,7.202803066037736,8.478942076265044,111,2000
V_mean,1,repeat_agreement_with_reference,0.895015015015015,0.8646825100963028,0.9227540568091026,111,2000
V_mean,1,modal_consistency,0.9167567567567567,0.8931415094339619,0.9382537436234981,111,2000
V_mean,1,mean_abs_bcs_change,0.13837837837837835,0.0995976136931534,0.18080928551570752,111,2000
V_mean,1,expected_bcs_sd,0.11793829783891055,0.08769503649690612,0.1519649541507006,111,2000
V_mean,1,mean_total_variation,0.06147698053825145,0.0450920444343176,0.08048482140842232,111,2000
V_mean,1,repeated_accuracy,0.48774774774774776,0.43302631863819624,0.5418104497354495,111,2000
V_mean,1,mean_unique_frames,1.0,1.0,1.0,111,2000
V_mean,3,repeat_agreement_with_reference,0.9413213213213213,0.9141946175147104,0.9655878192241826,111,2000
V_mean,3,modal_consistency,0.9641441441441441,0.9502788161993773,0.9765419590415303,111,2000
V_mean,3,mean_abs_bcs_change,0.06972972972972973,0.041880530973451326,0.10028105884179477,111,2000
V_mean,3,expected_bcs_sd,0.04868178378050783,0.033563747882135835,0.06601196707287922,111,2000
V_mean,3,mean_total_variation,0.03620179280199598,0.026421447876412985,0.04775432914897983,111,2000
V_mean,3,repeated_accuracy,0.5037237237237238,0.4447791892396786,0.5645924281662351,111,2000
V_mean,3,mean_unique_frames,3.0,3.0,3.0,111,2000
V_mean,6,repeat_agreement_with_reference,0.9443843843843844,0.9170959119496859,0.9675474553500871,111,2000
V_mean,6,modal_consistency,0.9709309309309309,0.9597630386521911,0.9808419437136253,111,2000
V_mean,6,mean_abs_bcs_change,0.06228228228228229,0.0365144223170539,0.09226747835497832,111,2000
V_mean,6,expected_bcs_sd,0.039686995937101614,0.029082464000919614,0.05125849846016019,111,2000
V_mean,6,mean_total_variation,0.031832046289323415,0.02306297437360679,0.04246534171879072,111,2000
V_mean,6,repeated_accuracy,0.5089489489489489,0.4499346197827329,0.5703675289919714,111,2000
V_mean,6,mean_unique_frames,4.904864864864865,4.69231969916345,5.1264880688124315,111,2000
V_mean,12,repeat_agreement_with_reference,0.9525525525525524,0.9259724413950832,0.9743910475081118,111,2000
V_mean,12,modal_consistency,0.9784984984984985,0.9696361952861949,0.9863204137247616,111,2000
V_mean,12,mean_abs_bcs_change,0.05147147147147147,0.028272939128481583,0.0793363387978142,111,2000
V_mean,12,expected_bcs_sd,0.02922596136112662,0.021479360695183858,0.03757893033628169,111,2000
V_mean,12,mean_total_variation,0.027866211490416144,0.01993060692865379,0.03777885620259945,111,2000
V_mean,12,repeated_accuracy,0.5075675675675675,0.4476863636363636,0.5706042311661508,111,2000
V_mean,12,mean_unique_frames,7.830990990990991,7.202803066037736,8.478942076265044,111,2000
V_single,1,repeat_agreement_with_reference,0.8836636636636637,0.8459137931034485,0.9169956169644347,111,2000
V_single,1,modal_consistency,0.921021021021021,0.8961522988505749,0.943850992585506,111,2000
V_single,1,mean_abs_bcs_change,0.16318318318318317,0.11157535446205172,0.22070987332986283,111,2000
V_single,1,expected_bcs_sd,0.10293705906920705,0.07562767720590269,0.13225057042584737,111,2000
V_single,1,mean_total_variation,0.06285223430064545,0.0435877368465946,0.08640502807448208,111,2000
V_single,1,repeated_accuracy,0.5084084084084084,0.45937802869912986,0.5617809523809523,111,2000
V_single,1,mean_unique_frames,1.0,1.0,1.0,111,2000
V_single,3,repeat_agreement_with_reference,0.886006006006006,0.8381268390804596,0.9266666666666667,111,2000
V_single,3,modal_consistency,0.9635435435435435,0.9441698085576586,0.9798809787189211,111,2000
V_single,3,mean_abs_bcs_change,0.15087087087087087,0.09439394164745546,0.21527233333333318,111,2000
V_single,3,expected_bcs_sd,0.043245008336752426,0.028066147894293916,0.06025162884095422,111,2000
V_single,3,mean_total_variation,0.05739582957827143,0.037154784635207036,0.08292567617508476,111,2000
V_single,3,repeated_accuracy,0.5116516516516516,0.46593249262536884,0.5610179991262562,111,2000
V_single,3,mean_unique_frames,3.0,3.0,3.0,111,2000
V_single,6,repeat_agreement_with_reference,0.8797597597597597,0.8287256060606065,0.9240641913556497,111,2000
V_single,6,modal_consistency,0.9688288288288287,0.9545905992949472,0.9814160248006117,111,2000
V_single,6,mean_abs_bcs_change,0.15585585585585587,0.09596690900698174,0.22318023809523813,111,2000
V_single,6,expected_bcs_sd,0.03645246002762587,0.025435218677205614,0.04799213596287966,111,2000
V_single,6,mean_total_variation,0.057533122489351864,0.03623777350729676,0.08402432236173094,111,2000
V_single,6,repeated_accuracy,0.5126126126126126,0.46615851851851864,0.5620540935672516,111,2000
V_single,6,mean_unique_frames,4.904864864864865,4.69231969916345,5.1264880688124315,111,2000
V_single,12,repeat_agreement_with_reference,0.8818618618618619,0.8283875000000003,0.927778037383178,111,2000
V_single,12,modal_consistency,0.9727927927927927,0.9587282023402712,0.9851725532864637,111,2000
V_single,12,mean_abs_bcs_change,0.1523723723723724,0.09095589558955894,0.22327344877344873,111,2000
V_single,12,expected_bcs_sd,0.026666591639963568,0.019011183794823295,0.03508628537137299,111,2000
V_single,12,mean_total_variation,0.056886309351074235,0.035398706835628915,0.08345155470880276,111,2000
V_single,12,repeated_accuracy,0.5131531531531531,0.46729385964912296,0.5624574459370905,111,2000
V_single,12,mean_unique_frames,7.830990990990991,7.202803066037736,8.478942076265044,111,2000
