variant,seed,fold_id,n,acc5,macro_f1_5,qwk5,mae_bcs,within_one_acc,macro_f1_3,extreme_lean_high
VQ,2027,0,42,0.6666666666666666,0.6666666666666667,0.8060941828254847,0.38095238095238093,0.9523809523809523,0.8151260504201682,0
VQ,2027,1,36,0.4444444444444444,0.33078431372549016,0.5343771272974813,0.6666666666666666,0.9444444444444444,0.7221783047870005,1
VQ,2027,2,33,0.45454545454545453,0.37238095238095237,0.26327944572748274,0.8484848484848485,0.8181818181818182,0.7156565656565657,1
VQ,2028,0,42,0.6190476190476191,0.702415458937198,0.8187187641980918,0.40476190476190477,0.9761904761904762,0.8086956521739129,0
VQ,2028,1,36,0.4444444444444444,0.39572649572649576,0.5405819295558958,0.7777777777777778,0.8333333333333334,0.7733488733488733,1
VQ,2028,2,33,0.696969696969697,0.6017391304347827,0.46049046321525877,0.48484848484848486,0.9090909090909091,0.8197691197691198,1
V_mean,2026,0,42,0.6904761904761905,0.675268817204301,0.766770324300311,0.40476190476190477,0.9047619047619048,0.8275475923852184,0
V_mean,2026,1,36,0.3611111111111111,0.3312820512820513,0.5233760860570955,0.9444444444444444,0.7777777777777778,0.6934416934416934,1
V_mean,2026,2,33,0.5454545454545454,0.42597402597402595,0.3133757961783439,0.696969696969697,0.8787878787878788,0.7284360772732866,1
V_mean,2027,0,42,0.5714285714285714,0.45161654135338347,0.5420560747663551,0.5714285714285714,0.9047619047619048,0.7162087608959505,1
V_mean,2027,1,36,0.25,0.22905982905982905,0.4759704251386322,1.0277777777777777,0.7777777777777778,0.5557721848044429,1
V_mean,2027,2,33,0.5151515151515151,0.3827956989247312,0.35597189695550346,0.7272727272727273,0.8787878787878788,0.7608465608465608,1
V_mean,2028,0,42,0.6428571428571429,0.5428070175438596,0.6729589428975932,0.4523809523809524,0.9523809523809523,0.8035345717234262,1
V_mean,2028,1,36,0.5,0.46446886446886443,0.5736842105263158,0.6944444444444444,0.8611111111111112,0.7497975708502024,1
V_mean,2028,2,33,0.36363636363636365,0.27142857142857146,0.24631396357328705,1.0606060606060606,0.7575757575757576,0.5927170868347339,2
V_single,2026,0,42,0.5714285714285714,0.6640116916331751,0.7789473684210526,0.47619047619047616,0.9523809523809523,0.7741997984964737,0
V_single,2026,1,36,0.3888888888888889,0.3232323232323232,0.5432098765432098,0.75,0.8611111111111112,0.7253302253302255,0
V_single,2026,2,33,0.5454545454545454,0.38403225806451613,0.3425287356321839,0.7272727272727273,0.8484848484848485,0.7324977416440831,1
V_single,2027,0,42,0.6190476190476191,0.6481045751633987,0.821636119803308,0.40476190476190477,0.9761904761904762,0.7832290362953692,0
V_single,2027,1,36,0.4444444444444444,0.27177033492822966,0.5211970074812967,0.6666666666666666,0.8888888888888888,0.5140291806958474,0
V_single,2027,2,33,0.45454545454545453,0.33359477124183,0.33674630261660976,0.8181818181818182,0.8181818181818182,0.6378731672849319,1
V_single,2028,0,42,0.5,0.33121458487312144,0.34782608695652173,0.7619047619047619,0.7857142857142857,0.6117292909745741,1
V_single,2028,1,36,0.3888888888888889,0.3168831168831169,0.5900870730073677,0.7222222222222222,0.8888888888888888,0.7642074237818918,0
V_single,2028,2,33,0.5151515151515151,0.4211396011396012,0.3291139240506329,0.7575757575757576,0.8484848484848485,0.7156565656565657,1
