bag_id,n_good_frames,angle_mean,angle_median,angle_std,angle_min,angle_max,angle_q25,angle_q75,angle_iqr,angle_range,angle_cv,angle_mad,bcs_raw
BCS4__Cow_9,19,165.69401389674135,163.28627014160156,4.859197832424616,159.7254638671875,173.7186279296875,161.87723541259766,171.18565368652344,9.308418273925781,13.9931640625,0.029326333028861343,2.358489990234375,4
BCS5__Cow_10_0029,5,170.18667602539062,171.1713409423828,3.2363290375768368,164.50050354003906,172.3724365234375,170.87396240234375,172.01513671875,1.14117431640625,7.8719329833984375,0.019016347890207338,0.8437957763671875,5
BCS5__Cow_12_NOTAG,3,171.74090576171875,171.1470489501953,2.45286080351359,169.63949584960938,174.43617248535156,170.39327239990234,172.79161071777344,2.3983383178710938,4.7966766357421875,0.014282332986625809,1.5075531005859375,5
BCS5__Cow_13,20,172.40951843261718,172.80402374267578,1.7950798545714608,167.9399871826172,174.8781280517578,172.00357818603516,173.49488830566406,1.4913101196289062,6.938140869140625,0.010411721295266142,0.8592147827148438,5
BCS5__Cow_13_8001,3,170.67100524902344,170.81878662109375,0.6130933498424841,169.99752807617188,171.1967010498047,170.4081573486328,171.00774383544922,0.5995864868164062,1.1991729736328125,0.003592252526713187,0.3779144287109375,5
BCS5__Cow_15,25,169.2151593017578,169.6341094970703,2.925090343135327,161.2868194580078,172.90989685058594,168.80201721191406,170.64535522460938,1.8433380126953125,11.623077392578125,0.01728621924421721,1.0112457275390625,5
BCS5__Cow_17_17,6,169.22889709472656,171.5316619873047,4.682773587873763,160.28192138671875,172.1808319091797,168.6974334716797,171.95387649536133,3.2564430236816406,11.898910522460938,0.02767124095391676,0.5990753173828125,5
BCS5__Cow_1_27,3,170.81700134277344,170.79193115234375,1.17652328407729,169.65321350097656,172.005859375,170.22257232666016,171.39889526367188,1.1763229370117188,2.3526458740234375,0.006887624035246909,1.1387176513671875,5
BCS5__Cow_21,18,170.1836869981554,171.15050506591797,3.193881295465806,158.51531982421875,172.9945831298828,169.40759658813477,171.67506790161133,2.2674713134765625,14.479263305664062,0.018767258788443243,0.812103271484375,5
BCS5__Cow_23_1067,5,169.16299133300782,169.81988525390625,3.5894221918671083,163.3074951171875,173.1259307861328,169.36300659179688,170.19863891601562,0.83563232421875,9.818435668945312,0.02121872026252544,0.456878662109375,5
BCS5__Cow_24,12,171.60494740804037,171.52489471435547,0.9177184180437407,170.38528442382812,172.98716735839844,170.9169807434082,172.38792419433594,1.4709434509277344,2.6018829345703125,0.005347855244881721,0.8650131225585938,5
BCS5__Cow_24_7022,3,168.77076721191406,169.0581817626953,3.3030320454402644,165.3334197998047,171.9207000732422,167.19580078125,170.48944091796875,3.29364013671875,6.5872802734375,0.019571114713799163,2.862518310546875,5
BCS5__Cow_25,29,167.73317429115033,168.1942138671875,1.4891932017188334,162.167236328125,169.3832550048828,167.45909118652344,168.55963134765625,1.1005401611328125,7.2160186767578125,0.008878346266397486,0.4971923828125,5
BCS5__Cow_27,21,168.00521487281435,169.15267944335938,3.8716586636320667,156.0859832763672,172.31153869628906,166.9337158203125,169.8372039794922,2.9034881591796875,16.225555419921875,0.023044871949737058,1.496246337890625,5
BCS5__Cow_28,28,169.8717324393136,169.9977035522461,2.0760296338476576,160.20416259765625,172.56813049316406,169.40674209594727,170.48008346557617,1.0733413696289062,12.363967895507812,0.012221160071993236,0.59136962890625,5
BCS5__Cow_28_4024,3,164.84429931640625,165.04837036132812,7.043492579180366,157.70098876953125,171.78353881835938,161.3746795654297,168.41595458984375,7.0412750244140625,14.082550048828125,0.04272815382994174,6.73516845703125,5
BCS5__Cow_29,25,171.2971923828125,172.1472625732422,1.8353135937903882,164.00999450683594,172.93824768066406,170.60743713378906,172.441162109375,1.8337249755859375,8.928253173828125,0.010714207093884268,0.6876983642578125,5
BCS5__Cow_3,10,171.57222900390624,171.02003479003906,1.2047599694422744,170.1301727294922,173.68260192871094,170.7911491394043,172.19662475585938,1.4054756164550781,3.55242919921875,0.0070218821334707094,0.5181503295898438,5
BCS5__Cow_30_30,6,172.19709014892578,172.2082061767578,1.1505492564799702,170.99183654785156,174.1522216796875,171.3391876220703,172.4814682006836,1.1422805786132812,3.1603851318359375,0.006681583617266181,0.6939544677734375,5
BCS5__Cow_31_15,3,172.4539337158203,171.9007110595703,1.7489693546506437,171.04847717285156,174.41261291503906,171.47459411621094,173.1566619873047,1.68206787109375,3.3641357421875,0.010141661120544213,0.85223388671875,5
BCS5__Cow_31_2024,5,166.1281707763672,169.39999389648438,6.38313348484054,157.46945190429688,171.70530700683594,161.22801208496094,170.8380889892578,9.610076904296875,14.235855102539062,0.038422944495266675,2.3053131103515625,5
BCS5__Cow_32,5,172.3930450439453,172.87974548339844,1.1098730037450484,170.565673828125,173.32339477539062,172.1502227783203,173.0461883544922,0.895965576171875,2.757720947265625,0.006438038167155333,0.4436492919921875,5
BCS5__Cow_34,9,170.7914750840929,171.210205078125,1.435174056331111,167.08380126953125,171.67044067382812,170.99928283691406,171.52955627441406,0.5302734375,4.586639404296875,0.008403077821211346,0.3193511962890625,5
BCS5__Cow_34_1,4,165.32239532470703,164.39020538330078,2.0310357081835186,164.14923095703125,168.3599395751953,164.23163986206055,165.48096084594727,1.2493209838867188,4.2107086181640625,0.012285302933062361,0.18603515625,5
