bag_id,base_episode_angle_pooled,new_episode_angle_pooled,new_episode_angle_framemedian,abs_delta_pooled,signed_delta_pooled,abs_delta_framemedian
BCS5__Cow_13_8001,170.3966,170.6241,170.8188,0.2275,0.2275,0.4222
BCS4__Cow_44_1,169.407,169.1823,169.4799,0.2247,-0.2247,0.0728
BCS3__Cow_14_0011,169.9281,169.7039,169.816,0.2242,-0.2242,0.1121
BCS3__Cow_14_0011,169.9281,169.7039,169.816,0.2242,-0.2242,0.1121
BCS5__Cow_30_30,172.2116,171.9894,172.0055,0.2221,-0.2221,0.206
BCS5__Cow_30_30,172.2116,171.9894,172.0055,0.2221,-0.2221,0.206
BCS6__Cow_18_32,173.0762,172.855,173.005,0.2212,-0.2212,0.0712
BCS4__Cow_6,168.2713,168.0502,168.0235,0.2212,-0.2212,0.2478
BCS4__Cow_7,171.9101,171.6927,171.6491,0.2174,-0.2174,0.261
BCS3__Cow_46,166.4163,166.2016,166.9835,0.2147,-0.2147,0.5672
BCS5__Cow_8_NOTAG,170.1045,169.8909,169.8451,0.2135,-0.2135,0.2593
BCS5__Cow_37,171.822,171.6121,171.7981,0.2099,-0.2099,0.024
BCS6__Cow_3_25,173.5926,173.3829,173.1573,0.2097,-0.2097,0.4353
BCS2__Cow_11_2,170.0704,169.8618,170.5823,0.2085,-0.2085,0.512
BCS5__Cow_30_30,172.2116,172.0055,172.0055,0.2061,-0.2061,0.206
BCS5__Cow_50_49,169.2381,169.0322,168.9834,0.2059,-0.2059,0.2547
BCS2__Cow_11_1,170.7947,170.9999,170.9291,0.2052,0.2052,0.1344
BCS2__Cow_11_1,170.7947,170.9999,170.9291,0.2052,0.2052,0.1344
BCS5__Cow_53_30,170.9767,170.7742,170.1317,0.2025,-0.2025,0.8449
BCS3__Cow_53,168.2141,168.0131,168.8198,0.201,-0.201,0.6057
BCS5__Cow_31_2024,169.4,169.2009,164.7911,0.1991,-0.1991,4.6089
BCS4__Cow_6,168.2713,168.0729,168.2256,0.1984,-0.1984,0.0458
BCS5__Cow_17_17,170.9242,170.7265,171.5224,0.1977,-0.1977,0.5982
BCS4__Cow_4_1,163.2478,163.0519,162.8762,0.1959,-0.1959,0.3716
BCS4__Cow_32_0035,168.3115,168.1174,168.1174,0.1941,-0.1941,0.1941
BCS4__Cow_32_0035,168.3115,168.1174,168.1535,0.1941,-0.1941,0.1581
BCS6__Cow_52_29,173.0735,172.8887,172.7494,0.1848,-0.1848,0.324
BCS6__Cow_19_29,172.4235,172.2455,172.3632,0.1781,-0.1781,0.0603
BCS6__Cow_35,172.9936,172.8179,172.819,0.1757,-0.1757,0.1746
BCS5__Cow_8_NOTAG,170.1045,169.9368,170.0586,0.1677,-0.1677,0.0458
BCS6__Cow_4_103,172.5748,172.4077,172.3034,0.1671,-0.1671,0.2713
BCS6__Cow_18_32,173.0762,172.9102,173.0631,0.166,-0.166,0.0131
BCS4__Cow_44_1,169.407,169.2413,169.4958,0.1657,-0.1657,0.0888
BCS4__Cow_19,170.6002,170.4348,170.7384,0.1654,-0.1654,0.1382
BCS5__Cow_28,170.2135,170.0547,169.965,0.1589,-0.1589,0.2485
BCS6__Cow_16_06,172.7114,172.5532,172.536,0.1581,-0.1581,0.1754
BCS4__Cow_32_0035,168.3115,168.1535,168.1895,0.1581,-0.1581,0.122
BCS2__Cow_5_1,171.3486,171.5044,171.5827,0.1558,0.1558,0.2341
BCS5__Cow_44_3008,164.1025,164.2569,164.1025,0.1544,0.1544,0.0
BCS4__Cow_17,172.2933,172.1425,172.0174,0.1508,-0.1508,0.2759
BCS3__Cow_22,170.9117,170.7612,171.0795,0.1505,-0.1505,0.1677
BCS2__Cow_11,172.5874,172.4383,172.5556,0.149,-0.149,0.0318
BCS5__Cow_15,169.6736,169.5253,169.6341,0.1484,-0.1484,0.0395
BCS4__Cow_49,165.7921,165.9403,168.5838,0.1482,0.1482,2.7917
BCS4__Cow_31,169.2404,169.0948,169.0841,0.1456,-0.1456,0.1563
BCS4__Cow_30,170.3642,170.2197,169.9082,0.1446,-0.1446,0.4561
BCS3__Cow_22,170.9117,170.7672,171.0795,0.1445,-0.1445,0.1677
BCS4__Cow_26,170.1265,170.2681,170.0129,0.1416,0.1416,0.1136
BCS6__Cow_45_9025,168.5202,168.3798,168.687,0.1404,-0.1404,0.1669
BCS4__Cow_33,169.3226,169.4622,169.1973,0.1396,0.1396,0.1253
BCS4__Cow_33,169.3226,169.4616,169.1138,0.139,0.139,0.2088
BCS4__Cow_31,169.2404,169.1056,169.0841,0.1348,-0.1348,0.1563
BCS4__Cow_31,169.2404,169.1056,169.0841,0.1348,-0.1348,0.1563
BCS2__Cow_11_1,170.7947,170.9291,170.9291,0.1344,0.1344,0.1344
BCS5__Cow_54,170.2772,170.1433,170.4251,0.1339,-0.1339,0.148
BCS5__Cow_1_27,170.659,170.7919,170.7919,0.1329,0.1329,0.133
BCS4__Cow_9,164.2717,164.139,163.2863,0.1326,-0.1326,0.9854
BCS6__Cow_19_29,172.4235,172.2945,172.3632,0.129,-0.129,0.0603
BCS4__Cow_17,172.2933,172.1669,172.0174,0.1264,-0.1264,0.2759
BCS6__Cow_11_07,172.8685,172.7426,172.5558,0.1258,-0.1258,0.3127
BCS6__Cow_47_68,171.1938,171.0726,171.1514,0.1212,-0.1212,0.0424
BCS5__Cow_24,171.4778,171.358,171.488,0.1198,-0.1198,0.0102
BCS6__Cow_28_3083,172.9156,172.7963,172.9924,0.1193,-0.1193,0.0768
BCS6__Cow_24_08,173.6606,173.5469,173.4837,0.1137,-0.1137,0.1769
BCS4__Cow_51_0035,166.4742,166.3661,166.4979,0.1081,-0.1081,0.0237
BCS3__Cow_46,166.4163,166.3092,166.9835,0.1071,-0.1071,0.5672
BCS6__Cow_32_34,174.2545,174.36,174.5369,0.1054,0.1054,0.2823
BCS5__Cow_21,171.0536,170.9484,170.8064,0.1053,-0.1053,0.2473
BCS5__Cow_27,168.9407,168.8361,169.1446,0.1046,-0.1046,0.2039
BCS5__Cow_29,171.1119,171.0076,171.5462,0.1043,-0.1043,0.4343
BCS4__Cow_33,169.3226,169.426,169.0742,0.1034,0.1034,0.2484
BCS6__Cow_12_2014,172.7046,172.6023,172.92,0.1023,-0.1023,0.2153
BCS5__Cow_31_15,172.0015,171.9007,171.9007,0.1008,-0.1008,0.1008
BCS4__Cow_8,169.6336,169.5332,169.6267,0.1004,-0.1004,0.0069
BCS6__Cow_18_32,173.0762,172.9762,173.1214,0.1,-0.1,0.0451
BCS5__Cow_17_17,170.9242,170.8254,171.5317,0.0988,-0.0988,0.6074
BCS6__Cow_4_103,172.5748,172.6726,172.5272,0.0978,0.0978,0.0475
BCS5__Cow_48_1018,166.4331,166.336,166.4699,0.0971,-0.0971,0.0367
BCS6__Cow_52_29,173.0735,173.1689,173.15,0.0954,0.0954,0.0766
BCS5__Cow_25,167.9445,167.853,168.2143,0.0915,-0.0915,0.2698
BCS6__Cow_35,172.9936,172.9025,173.0956,0.091,-0.091,0.102
BCS6__Cow_18,170.9173,170.8273,171.1463,0.09,-0.09,0.229
BCS4__Cow_48,170.0728,169.9849,169.8971,0.0878,-0.0878,0.1757
BCS6__Cow_2_6006,171.9256,171.8391,171.8513,0.0865,-0.0865,0.0743
BCS6__Cow_2_6006,171.9256,171.8391,171.8459,0.0865,-0.0865,0.0796
BCS5__Cow_34,171.148,171.2326,171.3775,0.0846,0.0846,0.2296
BCS5__Cow_50,173.293,173.211,173.2435,0.082,-0.082,0.0495
BCS4__Cow_19,170.6002,170.5194,170.765,0.0807,-0.0807,0.1649
BCS6__Cow_52_29,173.0735,172.9935,172.7494,0.0799,-0.0799,0.324
BCS5__Cow_45,169.9891,169.913,169.8477,0.0761,-0.0761,0.1414
BCS5__Cow_53_30,170.9767,170.9023,170.1317,0.0744,-0.0744,0.8449
BCS5__Cow_53_30,170.9767,170.9023,170.1317,0.0744,-0.0744,0.8449
BCS6__Cow_32_34,174.2545,174.1831,174.1654,0.0715,-0.0715,0.0892
BCS6__Cow_32_34,174.2545,174.1831,173.7375,0.0715,-0.0715,0.5171
BCS2__Cow_5_1,171.3486,171.4165,170.8029,0.0679,0.0679,0.5457
BCS2__Cow_5_1,171.3486,171.4165,170.7408,0.0679,0.0679,0.6078
BCS2__Cow_5_1,171.3486,171.4165,170.7408,0.0679,0.0679,0.6078
BCS5__Cow_12_NOTAG,171.8617,171.7962,171.1471,0.0655,-0.0655,0.7146
BCS6__Cow_36,172.3172,172.2532,172.3163,0.064,-0.064,0.001
BCS6__Cow_36,172.3172,172.2532,172.3163,0.064,-0.064,0.001
BCS6__Cow_9_1044,167.544,167.4813,167.656,0.0627,-0.0627,0.112
BCS6__Cow_3_25,173.5926,173.5307,173.2391,0.062,-0.062,0.3536
BCS5__Cow_34_1,164.493,164.4336,164.2042,0.0594,-0.0594,0.2888
BCS5__Cow_34_1,164.493,164.4336,164.2042,0.0594,-0.0594,0.2888
BCS4__Cow_19,170.6002,170.5412,170.765,0.059,-0.059,0.1649
BCS5__Cow_37_and_38,170.9373,170.883,170.4535,0.0543,-0.0543,0.4839
BCS6__Cow_36_1,172.1313,172.0783,172.0037,0.053,-0.053,0.1275
BCS6__Cow_13_66,171.2122,171.2633,171.4412,0.0511,0.0511,0.229
BCS5__Cow_43,169.0247,168.9737,168.7223,0.051,-0.051,0.3025
BCS6__Cow_4_103,172.5748,172.6254,172.5046,0.0506,0.0506,0.0702
