bag_id,animal_id,fold_id,seed,variant,true_label5,frame_count,available_good_frames,mean_unique_frames,repeat_agreement_with_reference,modal_consistency,mean_abs_bcs_change,expected_bcs_sd,mean_total_variation,repeated_accuracy
BCS5__Cow_53_30,Cow_53,0,2026,VAQ,3,1,4,1.0,1.0,1.0,0.0,0.01930388951624599,0.019581498578190804,1.0
BCS5__Cow_53_30,Cow_53,0,2026,VAQ,3,3,4,3.0,1.0,1.0,0.0,0.006216029781476237,0.010400036349892616,1.0
BCS5__Cow_53_30,Cow_53,0,2026,VAQ,3,6,4,3.2,1.0,1.0,0.0,0.00777224451591745,0.010091218166053295,1.0
BCS5__Cow_53_30,Cow_53,0,2026,VAQ,3,12,4,3.86,1.0,1.0,0.0,0.004627860980916312,0.010197876952588558,1.0
BCS5__Cow_7_6022,Cow_7,0,2026,VAQ,3,1,3,1.0,1.0,1.0,0.0,0.007293941770961058,0.011445809155702591,1.0
BCS5__Cow_7_6022,Cow_7,0,2026,VAQ,3,3,3,3.0,1.0,1.0,0.0,4.906676014284605e-08,0.006081308238208294,1.0
BCS5__Cow_7_6022,Cow_7,0,2026,VAQ,3,6,3,2.68,1.0,1.0,0.0,0.0031054146215301233,0.006489956751465797,1.0
BCS5__Cow_7_6022,Cow_7,0,2026,VAQ,3,12,3,2.96,1.0,1.0,0.0,0.0022256299361594566,0.005490373354405165,1.0
BCS6__Cow_16_06,Cow_16,0,2026,VAQ,4,1,62,1.0,1.0,1.0,0.0,0.0012121623132749942,0.0006098548765294254,1.0
BCS6__Cow_16_06,Cow_16,0,2026,VAQ,4,3,62,3.0,1.0,1.0,0.0,0.0006555904020484632,0.000317485915729776,1.0
BCS6__Cow_16_06,Cow_16,0,2026,VAQ,4,6,62,6.0,1.0,1.0,0.0,0.0004343420855652117,0.0002556618128437549,1.0
BCS6__Cow_16_06,Cow_16,0,2026,VAQ,4,12,62,12.0,1.0,1.0,0.0,0.0002657143748456952,0.00016873134882189333,1.0
BCS6__Cow_19_29,Cow_19,0,2026,VAQ,4,1,52,1.0,1.0,1.0,0.0,0.008818203406922031,0.006568825803697109,1.0
BCS6__Cow_19_29,Cow_19,0,2026,VAQ,4,3,52,3.0,1.0,1.0,0.0,0.0051198264647576396,0.0033767062705010176,1.0
BCS6__Cow_19_29,Cow_19,0,2026,VAQ,4,6,52,6.0,1.0,1.0,0.0,0.0031652780327830307,0.0022704892326146364,1.0
BCS6__Cow_19_29,Cow_19,0,2026,VAQ,4,12,52,12.0,1.0,1.0,0.0,0.0019994371649005864,0.0013827341608703136,1.0
BCS6__Cow_2_6006,Cow_2,0,2026,VAQ,4,1,31,1.0,1.0,1.0,0.0,0.00044476081892044886,0.0002469677710905671,1.0
BCS6__Cow_2_6006,Cow_2,0,2026,VAQ,4,3,31,3.0,1.0,1.0,0.0,0.0002365761967761532,0.00012545827485155314,1.0
BCS6__Cow_2_6006,Cow_2,0,2026,VAQ,4,6,31,6.0,1.0,1.0,0.0,0.00016192714019333342,8.613086538389325e-05,1.0
BCS6__Cow_2_6006,Cow_2,0,2026,VAQ,4,12,31,12.0,1.0,1.0,0.0,0.00011976013479315664,5.9464407968334854e-05,1.0
